Compte ,Client ,Secteurs Statistique,Catégorie,Secteurs clients,Consolidation Client,Gouvernorat
395510,S.T.E HAJJI SERVICES REMLA _ KERKENNA _ SFAX,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,SOCIETE HAJJI SERVICES,SFAX
395520,CITE UNIVERSITAIRE KELIBIA CITE UNIVERSITAIRE OUED EL KHATF KELIBIA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,CITE UNIVERSITAIRE KELIBIA,NABEUL
395530,MAHMOUD BEN MOHAMED MOKHTAR AMMARI CITE ALI BEN KHALIFA JERISSA LE KEF,DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,MAHMOUD BEN MOHAMED MOKHTAR AMMARI,LE KEF
395550,"STE REGIONALE DE COMMERCE ""ECONOMIE DU NORT"" 2.RUE HABIB THAMEUR BEJA",DEPOSITAIRES,DEPOSITAIRES,DEPOSITAIRES,"STE REGIONALE DE COMMERCE ""ECONOMIE DU NORT""",BEJA
395600,A.N.M RECYCLING TUNISIA ZONE INDUSTRIELLE UTIQUE,INDUSTRIEL GAZ,INDUSTRIEL GAZ,INDUSTRIEL GAZ,A.N.M RECYCLING TUNISIA,BIZERTE
395610,ECOLE DE FORMATION GARDE NATIONALE MORNAGUIA MANNOUBA ECOLE DE FORMATION GARDE NATIONALE MORNAGUIA MANNOUBA,COLLEGE-LYCEE-ECOLE,ADMINISTRATION,MIN.DEF.NAT.,ECOLE DE FORMATION GARDE NATIONALE MORNAGUIA,MANOUBA
395620,ISET T.G.M. SARL BEJA ISET T.G.M. SARL BEJA AV. DE L'ENVIRONNEMENT B.P N 244 BEJA,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,ISET BEJA,BEJA
395630,FOYER UNIVERSITAIRE RAKADA KAIROUAN FOYER UNIVERSITAIRE RAKADA KAIROUAN,EDUCATION NATIONALE,ADMINISTRATION,MIN.ENS.SUP.RECH.SC.,FOYER UNIVERSITAIRE RAKADA,KAIROUAN
395640,NEGRESCO HOTEL CLUB BP 220 MIDOUN DJERBA,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTELS-RESTAURANTS,HOTEL CLUB NEGRESCO,MEDENINE
395651,DIRECTION DU MATERIEL ROULANT ET DES ESSENCES (BUANDERIE) FONDOUK JEDID,ARMEE GAZ,ADMINISTRATION,MIN.DEF.NAT.,DIRECTION DU MATERIEL ROULANT ET DES ESSENCES (BUANDERIE),NABEUL
