Compte ,Client ,Secteurs clients,Consolidation Client,AME
438532,MIN.CULT.JEUN.LOIS.COMM. REG. CULT. KASSERINE,ADMINISTRATION,COMM. REG. CULT. KASSERINE,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438542,MIN.CULT.JEUN.LOIS.COMM. REG. CULT. SOUSSE,ADMINISTRATION,COMM. REG. CULT. SOUSSE,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438552,MIN.CULT.SAUVEG.PATRIMOINE  COMMISSARIAT REG.CULT.SAUVEG.PATRIMOINE,ADMINISTRATION,COMMISSARIAT REG.CULT.SAUVEG.PATRIMOINE,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438562,MIN.CULT.JEUN.LOIS.COMM. REG. CULT. MAHDIA,ADMINISTRATION,COMM. REG. CULT. MAHDIA,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438572,MIN.CULT.JEUN.LOIS.COMM. REG. CULT. SFAX,ADMINISTRATION,COMM. REG. CULT. SFAX,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438582,MIN.CULT.    COMM. REG. DES AFF.CULTURELLES,ADMINISTRATION,COMM. REG. DES AFF.CULTURELLES,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438592,MIN.CULT.JEUN.LOIS.COMM. REG. CULT. SIDI BOUZID,ADMINISTRATION,COMM. REG. CULT. SIDI BOUZID,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438602,MIN.CULT.SAUV.PAT  COMM. REG. CULT. SAUV.PAT.DE GAFSA,ADMINISTRATION,COMM. REG. CULT. SAUV.PAT.DE GAFSA,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438612,MIN.CULT.JEUN.LOIS.COMM. REG. CULT.TOZEUR,ADMINISTRATION,COMM. REG. CULT.TOZEUR,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438622,MIN.CULT.JEUN.LOIS.COMM. REG. CULT. KEBILI,ADMINISTRATION,COMM. REG. CULT. KEBILI,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438632,MIN.CULT.JEUN.LOIS.COMM. REG. CULT. MEDENINE,ADMINISTRATION,COMM. REG. CULT. MEDENINE,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438642,MIN.CULT.JEUN.LOIS.COMM. REG. CULT. TATAOUINE,ADMINISTRATION,COMM. REG. CULT. TATAOUINE,MIN.CULT.SAUVEGARDE DU PATRIMOINE
438652,MIN.AFF.FEM.FAM.ENF.CENTRE INTEGRE DE LA JEUNESSE ET DE L'ENFAN,ADMINISTRATION,CENTRE INTEGRE DE LA JEUNESSE ET DE L'ENFAN,MIN.AFF.FEM.FAM.ENF.
438662,MIN.AFF.FEM.FAM.ENF.CENTRE INTEGRE DE LA JEUNESSE ET DE L'ENFAN,ADMINISTRATION,CENTRE INTEGRE DE LA JEUNESSE ET DE L'ENFAN,MIN.AFF.FEM.FAM.ENF.
438672,MIN.AFF.FEM.FAM.ENF.CENTRE INTEGRE DE LA JEUN. ET DE L'ENFANCE,ADMINISTRATION,CENTRE INTEGRE DE LA JEUN. ET DE L'ENFANCE,MIN.AFF.FEM.FAM.ENF.
438682,MIN.AFF.FEM.FAM.ENF.CENTRE INTEGRE DE LA JEUN. ET DE L'ENF.,ADMINISTRATION,CENTRE INTEGRE DE LA JEUN. ET DE L'ENF.,MIN.AFF.FEM.FAM.ENF.
438692,MIN.ENS.SUP.RECH.SC.TECH.FACULTE DES SC.ECONOMIQUES ET GESTION,ADMINISTRATION,FACULTE DES SC.ECONOMIQUES ET GESTION,MIN.ENS.SUP.RECH.SC.
438702,MIN.AFF.SOC.SOLID.CENTRE DE DEFENSE ET D'INTEGRATION SOCIALE,ADMINISTRATION,CENTRE DE DEFENSE ET D'INTEGRATION SOCIALE,MIN.AFF.FEM.FAM.ENF.
438712,"MIN.ENS.SUP.RECH.SC.TECH.FOYER UNIVERSITAIRE ""  ULYSSE """,ADMINISTRATION,"FOYER UNIVERSITAIRE ""  ULYSSE """,MIN.ENS.SUP.RECH.SC.
438722,"MIN.ENS.SUP.RECH.SC.TECH.FOYER UNIVERSITAIRE "" IBN MANDHOUR """,ADMINISTRATION,"FOYER UNIVERSITAIRE "" IBN MANDHOUR """,MIN.ENS.SUP.RECH.SC.
438732,"MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIVERSITAIRE "" EZAYATINE""",ADMINISTRATION,"RESTAURANT UNIVERSITAIRE "" EZAYATINE""",MIN.ENS.SUP.RECH.SC.
438742,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.DES BEAUX-ARTS DE SOUSSE,ADMINISTRATION,INSTITUT SUP.DES BEAUX-ARTS DE SOUSSE,MIN.ENS.SUP.RECH.SC.
438752,MIN.ENS.SUP.RECH.SC.TECH.INST.SUP.DES ETUDES TECHNOLOGIQUES,ADMINISTRATION,INST.SUP.DES ETUDES TECHNOLOGIQUES,MIN.ENS.SUP.RECH.SC.
438762,MIN.ENS.SUP.RECH.SC.TECH.FACULTE DES SCIENCES DE GAFSA,ADMINISTRATION,FACULTE DES SCIENCES DE GAFSA,MIN.ENS.SUP.RECH.SC.
438772,MIN.AFF.SOC.SOLID.CENTRE DE DEFFENSE ET D'INTEGRATION SOCIALE,ADMINISTRATION,CENTRE DE DEFFENSE ET D'INTEGRATION SOCIALE,MIN.AFF.FEM.FAM.ENF.
438782,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP. DES LANGUES,ADMINISTRATION,INSTITUT SUP. DES LANGUES,MIN.ENS.SUP.RECH.SC.
438792,MIN.ENS.SUP.RECH.SC.TECH.INST.SUP.D'INFORMATIQUE ET DE MULTIMEDIA,ADMINISTRATION,INST.SUP.D'INFORMATIQUE ET DE MULTIMEDIA,MIN.ENS.SUP.RECH.SC.
438802,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.D'INFORMATIQUE ET DE GESTION,ADMINISTRATION,INSTITUT SUP.D'INFORMATIQUE ET DE GESTION,MIN.ENS.SUP.RECH.SC.
438812,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT HAUTES ETUDES COMMERCIALES,ADMINISTRATION,INSTITUT HAUTES ETUDES COMMERCIALES,MIN.ENS.SUP.RECH.SC.
438822,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.D'INFORMATIQUE ET MATHEMATIQUE,ADMINISTRATION,INSTITUT SUP.D'INFORMATIQUE ET MATHEMATIQUE,MIN.ENS.SUP.RECH.SC.
438832,MIN.ENS.SUP.RECH.SC.TECH.  ECOLE NLE. D'ELECTRONIQUE ET TELECOMMUNICAT,ADMINISTRATION,  ECOLE NLE. D'ELECTRONIQUE ET TELECOMMUNICAT,MIN.ENS.SUP.RECH.SC.
438842,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUPERIEUR DE GESTION INDUSTRIELLE,ADMINISTRATION,INSTITUT SUPERIEUR DE GESTION INDUSTRIELLE,MIN.ENS.SUP.RECH.SC.
438852,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT HAUTES ETUDES COMMERCIALES,ADMINISTRATION,INSTITUT HAUTES ETUDES COMMERCIALES,MIN.ENS.SUP.RECH.SC.
438862,MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIVERSITAIRE IBN JAZZAR,ADMINISTRATION,RESTAURANT UNIVERSITAIRE IBN JAZZAR,MIN.ENS.SUP.RECH.SC.
438872,MIN.ENS.SUP.RECH.SC.TECH.FOYER UNIVERSITAIRE IBN RACHIK DE RAKADA,ADMINISTRATION,FOYER UNIVERSITAIRE IBN RACHIK DE RAKADA,MIN.ENS.SUP.RECH.SC.
438882,MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIV.L'OASIS,ADMINISTRATION,RESTAURANT UNIV.L'OASIS,MIN.ENS.SUP.RECH.SC.
438892,MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIV. IBN RACHED,ADMINISTRATION,RESTAURANT UNIV. IBN RACHED,MIN.ENS.SUP.RECH.SC.
438902,MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIV.KHEIREDDINE TOUNSI,ADMINISTRATION,RESTAURANT UNIV.KHEIREDDINE TOUNSI,MIN.ENS.SUP.RECH.SC.
438912,MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIV.ALI CHARFI,ADMINISTRATION,RESTAURANT UNIV.ALI CHARFI,MIN.ENS.SUP.RECH.SC.
438922,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.DES ETUDES APPLIQUEES EN HUMAN,ADMINISTRATION,INSTITUT SUP.DES ETUDES APPLIQUEES EN HUMAN,MIN.ENS.SUP.RECH.SC.
438932,MIN.ENS.SUP.RECH.SC.TECH.RESTAURANT UNIVERSITAIRE IBN ROCHD,ADMINISTRATION,RESTAURANT UNIVERSITAIRE IBN ROCHD,MIN.ENS.SUP.RECH.SC.
438942,MIN.ENS.SUP.RECH.SC.TECH.FOYER UNIVERSITAIRE 5 SEPTEMBRE 1934,ADMINISTRATION,FOYER UNIVERSITAIRE 5 SEPTEMBRE 1934,MIN.ENS.SUP.RECH.SC.
438952,MIN.ENS.SUP.RECH.SC.TECH.   CITE UNIVERSITAIRE    EL FARABI,ADMINISTRATION,   CITE UNIVERSITAIRE    EL FARABI,MIN.ENS.SUP.RECH.SC.
438962,MIN.ENS.SUP.RECH.SC.TECH. INSTITUT SUP.DES ETUDES TECHNOLOGIQUES,ADMINISTRATION, INSTITUT SUP.DES ETUDES TECHNOLOGIQUES,MIN.ENS.SUP.RECH.SC.
438972,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.D'ADMINISTRATION DES ENTREPRISES,ADMINISTRATION,INSTITUT SUP.D'ADMINISTRATION DES ENTREPRISES,MIN.ENS.SUP.RECH.SC.
438982,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.DES ETUDES JURIDIQUES,ADMINISTRATION,INSTITUT SUP.DES ETUDES JURIDIQUES,MIN.ENS.SUP.RECH.SC.
438992,MIN.EDUC.FORM.COLLEGE SEC.IBN KHALDOUN,ADMINISTRATION,COLLEGE SEC.IBN KHALDOUN,MIN.EDUC.
439002,MIN.CULT.JEUN.LOIS.COMM. REG. CULT. KAIROUAN,ADMINISTRATION,COMM. REG. CULT. KAIROUAN,MIN.CULT.SAUVEGARDE DU PATRIMOINE
439012,PREMIER MINISTERERADIO REGIONALE DE GAFSA,ADMINISTRATION,RADIO REGIONALE DE GAFSA,MIN.COMMUN.REL.CH.DEP.CH.CONS.
439022,MIN.TECH.COMM.TRANSP.RECETTE REG.DES POSTES -,ADMINISTRATION,RECETTE REG.DES POSTES -,MIN.TECH.COMM.
439032,MIN.TECH.COMM.TRANSP.RECETTE REG.DES POSTES -,ADMINISTRATION,RECETTE REG.DES POSTES -,MIN.TECH.COMM.
439042,MIN.TECH.COMM.TRANSP.RECETTE REG.DES POSTES -,ADMINISTRATION,RECETTE REG.DES POSTES -,MIN.TECH.COMM.
439052,MIN.TECH.COMM.TRANSP.RECETTE REG.DES POSTES -,ADMINISTRATION,RECETTE REG.DES POSTES -,MIN.TECH.COMM.
439062,MIN.TECH.COMM.TRANSP.RECETTE REG.DES POSTES,ADMINISTRATION,RECETTE REG.DES POSTES,MIN.TECH.COMM.
439072,MIN.TECH.COMM.TRANSP.RECETTE REG.DES POSTES -,ADMINISTRATION,RECETTE REG.DES POSTES -,MIN.TECH.COMM.
439082,MIN.TECH.COMM.TRANSP.RECETTE REG.DES POSTES -,ADMINISTRATION,RECETTE REG.DES POSTES -,MIN.TECH.COMM.
439092,MIN.TECH.COMM.TRANSP.RECETTE REG.DES POSTES -,ADMINISTRATION,RECETTE REG.DES POSTES -,MIN.TECH.COMM.
439102,MIN.TECH.COMM.TRANSP.- RECETTE REG.DES POSTES -,ADMINISTRATION,REG.DES POSTES -,MIN.TECH.COMM.
439112,MIN.TECH.COMM.TRANSP.- RECETTE REG.DES POSTES -,ADMINISTRATION,REG.DES POSTES -,MIN.TECH.COMM.
439122,MIN.TECH.COMM.TRANSP.- RECETTE REG.DES POSTES -,ADMINISTRATION,REG.DES POSTES -,MIN.TECH.COMM.
439132,MIN.TECH.COMM.TRANSP.- RECETTE REG.DES POSTES -,ADMINISTRATION,REG.DES POSTES -,MIN.TECH.COMM.
439142,MIN.TECH.COMM.TRANSP.- RECETTE REG.DES POSTES -,ADMINISTRATION,REG.DES POSTES -,MIN.TECH.COMM.
439152,PREMIER MINISTERERADIO REGIONAL DE TATAOUINE,ADMINISTRATION,RADIO REGIONAL DE TATAOUINE,MIN.COMMUN.REL.CH.DEP.CH.CONS.
439162,MIN.FIN.DIR.REG.DES DOUANES,ADMINISTRATION,DIR.REG.DES DOUANES,MIN.FIN.
439172,MIN.FIN.DIR.REG. DES DOUANES,ADMINISTRATION,DIR.REG. DES DOUANES,MIN.FIN.
439182,MIN.FIN.DIR.REG.DES DOUANES,ADMINISTRATION,DIR.REG.DES DOUANES,MIN.FIN.
439192,MIN.FIN.DIR.REG.DES DOUANES,ADMINISTRATION,DIR.REG.DES DOUANES,MIN.FIN.
439212,MIN.FIN.DIR . REG . DES DOUANES DE SOUSSE,ADMINISTRATION,DIR . REG . DES DOUANES DE SOUSSE,MIN.FIN.
439222,MIN.FIN.DIR. REG. DES DOUANES DE GAFSA,ADMINISTRATION,DIR. REG. DES DOUANES DE GAFSA,MIN.FIN.
439232,MIN.FIN.DIR. REG. DES DOUANES DE MEDENINE,ADMINISTRATION,DIR. REG. DES DOUANES DE MEDENINE,MIN.FIN.
439242,MIN.FIN.DIR.REG.DES DOUANES DE KASSERINE,ADMINISTRATION,DIR.REG.DES DOUANES DE KASSERINE,MIN.FIN.
439252,MIN.FIN.DIR.REG.DES DOUANES,ADMINISTRATION,DIR.REG.DES DOUANES,MIN.FIN.
439261,MIN.FIN.MANUFACTURE DES TABACS  DE KAIROUAN,ADMINISTRATION,MANUFACTURE DES TABACS  DE KAIROUAN,MIN.FIN.
439272,MIN.FIN.DIR.GLE.DOUANES  UNITE DU SURVEIL.ET DE REC,ADMINISTRATION,DIR.GLE.DOUANES  UNITE DU SURVEIL.ET DE REC,MIN.FIN.
439282,MIN.DEV.COOP.INTER.OFFICE DE DEVELOPPEMENT DU CENTRE-OUEST,ADMINISTRATION,OFFICE DE DEVELOPPEMENT DU CENTRE-OUEST,MIN.DEV.COOP.INTER.
439292,MIN.FIN.RECETTE REGIONALE DE KASSERINE,ADMINISTRATION,RECETTE REGIONALE DE KASSERINE,MIN.FIN.
439302,MIN.FIN.UNITE RECH.DOUANIERES DE SOUSSE,ADMINISTRATION,UNITE RECH.DOUANIERES DE SOUSSE,MIN.FIN.
439312,MIN.FIN.UNITE DE RECH.DOUANIERE DE GAFSA,ADMINISTRATION,UNITE DE RECH.DOUANIERE DE GAFSA,MIN.FIN.
439322,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE SOUSSE,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE SOUSSE,MIN.TECH.COMM.
439332,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE MONASTIR,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE MONASTIR,MIN.TECH.COMM.
439342,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE MAHDIA,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE MAHDIA,MIN.TECH.COMM.
439352,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE KAIROUAN,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE KAIROUAN,MIN.TECH.COMM.
439362,MIN.TECH.COMM.TRANSP.TUNISIE TELECOM   -DISTRICT DE KASSERINE,ADMINISTRATION,TUNISIE TELECOM   -DISTRICT DE KASSERINE,MIN.TECH.COMM.
439372,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE SIDI BOUZID,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE SIDI BOUZID,MIN.TECH.COMM.
439382,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE GAFSA,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE GAFSA,MIN.TECH.COMM.
439392,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE TOZEUR,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE TOZEUR,MIN.TECH.COMM.
439402,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE SFAX,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE SFAX,MIN.TECH.COMM.
439412,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE GABES,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE GABES,MIN.TECH.COMM.
439422,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE TATAOUINE,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE TATAOUINE,MIN.TECH.COMM.
439432,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE KEBILI,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE KEBILI,MIN.TECH.COMM.
439442,MIN.TECH.COMM.TRANSP.TUNISIE  TELECOM  -DISTRICT DE MEDENINE,ADMINISTRATION,TUNISIE  TELECOM  -DISTRICT DE MEDENINE,MIN.TECH.COMM.
439452,MIN.FIN.TRESORERIE REGIONALE DE SFAX,ADMINISTRATION,TRESORERIE REGIONALE DE SFAX,MIN.FIN.
439462,MIN.SANTE PUB. HOPITAL CIRCONS.MAGEL BEL ABBES,ADMINISTRATION, HOPITAL CIRCONS.MAGEL BEL ABBES,MIN.SANTE PUB.
439472,MIN.AFF.FEM.FAM.ENF. CENTRE INTEGRE JEUN.ENF.DE SOUASSI,ADMINISTRATION,CENTRE INTEGRE JEUN.ENF.DE SOUASSI,MIN.AFF.FEM.FAM.ENF.
439482,MIN.INTER.DEV.LOC. COMMUNE DE BOUHAJLA,ADMINISTRATION,COMMUNE DE BOUHAJLA,MIN.INTER.DEV.LOC.
439492,MIN.INTER.DEV.LOC. COMMUNE AGAREB,ADMINISTRATION,COMMUNE AGAREB                                   ,MIN.INTER.DEV.LOC.
439502,MIN.ENS.SUP.RECH.SC.TECH.CENTRE RECH.ETUDES DIALOGUES CIVIL.RELIG.COMP,ADMINISTRATION,CENTRE RECH.ETUDES DIALOGUES CIVIL.RELIG.COMP,MIN.ENS.SUP.RECH.SC.
439512,MIN.SPORTS MAISON DES JEUNES,ADMINISTRATION,MAISON DES JEUNES,MIN.JEUN.SPORTS EDUC.PHYS.
439522,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.SYSTEMES INDUSTRIELS,ADMINISTRATION,INSTITUT SUP.SYSTEMES INDUSTRIELS,MIN.ENS.SUP.RECH.SC.
439532,MIN.INTER.DEV.LOC.COMMUNE DE SBIBA,ADMINISTRATION,COMMUNE DE SBIBA,MIN.INTER.DEV.LOC.
439542,MIN.INTER.DEV.LOC. COMMUNE DE MENZEL ENNOUR,ADMINISTRATION,COMMUNE DE MENZEL ENNOUR,MIN.INTER.DEV.LOC.
439552,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.SC.TECHNOL.ENERGIE,ADMINISTRATION,INSTITUT SUP.SC.TECHNOL.ENERGIE,MIN.ENS.SUP.RECH.SC.
439562,MIN.INTER.DEV.LOC.CAISSE REG.DEV.ACTIV.CULT.JEUN.SPORT,ADMINISTRATION,CAISSE REG.DEV.ACTIV.CULT.JEUN.SPORT,MIN.INTER.DEV.LOC.
439572,MIN.AGRIC.ENV.RESS.HYD.CENTRE REG.DES RECHERCHES AGRIC.OASIENNE,ADMINISTRATION,CENTRE REG.DES RECHERCHES AGRIC.OASIENNE,MIN.AGRIC.ENV.RESS.HYD.
439582,MIN.ENS.SUP.RECH.SC.TECH. INSTITUT SUP.ARTS ET METIERS,ADMINISTRATION, INSTITUT SUP.ARTS ET METIERS,MIN.ENS.SUP.RECH.SC.
439592,MIN.EMPLOI CENTRE DE FORM.ET D'APPRENTISSAGE PROF.,ADMINISTRATION,CENTRE DE FORM.ET D'APPRENTISSAGE PROF.,MIN.EMPLOI
439602,MIN.SPORTS INSTITUT SUP.SPORTS EDUC.PHYS.,ADMINISTRATION,INSTITUT SUP.SPORTS EDUC.PHYS.,MIN.JEUN.SPORTS EDUC.PHYS.
439612,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.DES MATHEMATIQUES APPL.ET INFOR.,ADMINISTRATION,INSTITUT SUP.DES MATHEMATIQUES APPL.ET INFOR.,MIN.ENS.SUP.RECH.SC.
439622,MIN.SANTE PUB.INSTITUT SUP.DES SCIENCES INFIRMIERES,ADMINISTRATION,INSTITUT SUP.DES SCIENCES INFIRMIERES,MIN.SANTE PUB.
439632,MIN.ENS.SUP.RECH.SC.TECH.ECOLE SUP.DES SCIENCES ET TECHNOLOGIES,ADMINISTRATION,ECOLE SUP.DES SCIENCES ET TECHNOLOGIES,MIN.ENS.SUP.RECH.SC.
439642,MIN.ENS.SUP.RECH.SC.TECH.INST.SUP.ETUDES APPL.EN HUMANITES,ADMINISTRATION,INST.SUP.ETUDES APPL.EN HUMANITES,MIN.ENS.SUP.RECH.SC.
439652,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUPERIEUR D'INFORMATIQUE,ADMINISTRATION,INSTITUT SUPERIEUR D'INFORMATIQUE,MIN.ENS.SUP.RECH.SC.
439662,MIN.INTER.DEV.LOC.COMMUNE DE MESSADINE,ADMINISTRATION,COMMUNE DE MESSADINE,MIN.INTER.DEV.LOC.
439672,MIN.INTER.DEV.LOC.COMMUNE BIR ALI BEN KHELIFA,ADMINISTRATION,COMMUNE BIR ALI BEN KHELIFA,MIN.INTER.DEV.LOC.
439682,MIN.ENS.SUP.RECH.SC.TECH.INSTITUT SUP.DES SC.INFIRMIERES,ADMINISTRATION,INSTITUT SUP.DES SC.INFIRMIERES,MIN.ENS.SUP.RECH.SC.
439692,MIN.INTER.DEV.LOC.COMMUNE REDAYEF,ADMINISTRATION,COMMUNE REDAYEF                                   ,MIN.INTER.DEV.LOC.
439702,"MIN.EDUC.FORM.ECOLE PREPARATOIRE "" ENNOUR "" DES AVEUGLES",ADMINISTRATION,"ECOLE PREPARATOIRE "" ENNOUR "" DES AVEUGLES",MIN.EDUC.
439711,MIN.AGRIC.CENTRE REG.RECH.HORICULTURE ET AGRICULTURE BIOLOGIQUE,ADMINISTRATION,MIN.AGRIC.CENTRE REG.RECH.HORICULTURE ET AGRICULTURE BIOLOGIQUE,MIN.AGRIC.ENV.RESS.HYD.
439722,MIN.JEUN.SPORTS EDUC.PHYS. CENTRE D'ATHLETISME,ADMINISTRATION,CENTRE D'ATHLETISME,MIN.JEUN.SPORTS EDUC.PHYS.
439732,MIN.INTER.DEV.LOC. COMMUNE DE KHENISS,ADMINISTRATION,COMMUNE DE KHENISS,MIN.INTER.DEV.LOC.
439742,MIN.ENS.SUP.RECH.SC.TECH.LE PALAIS DES SCIENCES,ADMINISTRATION,LE PALAIS DES SCIENCES,MIN.ENS.SUP.RECH.SC.
439752,MIN.EDUC.FORM.ECOLE PREPARATOIRE SIDI EL HENI,ADMINISTRATION,ECOLE PREPARATOIRE SIDI EL HENI,MIN.EDUC.
439762,MIN.EDUC.     ECOLE PREPARATOIRE  IBN MOUKAFA,ADMINISTRATION,MIN.EDUC.     ECOLE PREPARATOIRE  IBN MOUKAFA,MIN.EDUC.
439772,MIN.EDUC.FORM.INSTITUT DES METIERS DE L'EDUC.ET DE FORM.,ADMINISTRATION,INSTITUT DES METIERS DE L'EDUC.ET DE FORM.,MIN.EDUC.
439782,MIN.AFF.SOC.SOLID.CENTRE D'ASSISTANCE ET D'ORIENTATION SOCIALE,ADMINISTRATION,CENTRE D'ASSISTANCE ET D'ORIENTATION SOCIALE,MIN.AFF.FEM.FAM.ENF.
439792,MIN.ENS.SUP.RECH.SC.TECH. CITE UNIVERSITAIRE DE TOZEUR,ADMINISTRATION, CITE UNIVERSITAIRE DE TOZEUR,MIN.ENS.SUP.RECH.SC.
439802,MIN.ENS.SUP.RECH.SC.TECH. CITE UNIVERSITAIRE DE TATAOUINE,ADMINISTRATION, CITE UNIVERSITAIRE DE TATAOUINE,MIN.ENS.SUP.RECH.SC.
439812,MIN.ENS.SUP.RECH.SC.TECH.INST.SUP.DES ARTS ET METIERS,ADMINISTRATION,INST.SUP.DES ARTS ET METIERS,MIN.ENS.SUP.RECH.SC.
439822,MIN.INTER.DEV.LOC.COMMUNE EL GHREIBA,ADMINISTRATION,COMMUNE EL GHREIBA,MIN.INTER.DEV.LOC.
439832,MIN.ENS.SUP.RECH.SC.TECH.INST.PREP.AUX ETUDES D'INGENIEURS,ADMINISTRATION,INST.PREP.AUX ETUDES D'INGENIEURS,MIN.ENS.SUP.RECH.SC.
439842,MIN.EDUC.FORM.LYCEE EL MAZZOUNA,ADMINISTRATION,LYCEE EL MAZZOUNA,MIN.EDUC.
439852,MIN.INTER.DEV.LOC. COMMUNE CHERARDA,ADMINISTRATION,COMMUNE CHERARDA                                   ,MIN.INTER.DEV.LOC.
439862,MIN.EDUC.FORM. ECOLE PREPARATOIRE DE MEZZOUNA,ADMINISTRATION,ECOLE PREPARATOIRE DE MEZZOUNA,MIN.EDUC.
439872,MIN.AGRIC.ENV.RESS.HYD. C. F. P. A  KEBILI,ADMINISTRATION, C. F. P. A  KEBILI,MIN.AGRIC.ENV.RESS.HYD.
439882,MIN.INTER.DEV.LOC.COMMUNE DE JEDELIANE,ADMINISTRATION,COMMUNE DE JEDELIANE,MIN.INTER.DEV.LOC.
439892,MIN.DEV.COOP.INTER. COMMUNE DE SIDI ALOUANE,ADMINISTRATION,COMMUNE DE SIDI ALOUANE,MIN.DEV.COOP.INTER.
439902,MIN.AFF.SOC.SOLID.CENTRE DE DEFENSE ET D'INTEGRATION SOCIALE,ADMINISTRATION,CENTRE DE DEFENSE ET D'INTEGRATION SOCIALE,MIN.AFF.FEM.FAM.ENF.
439912,MIN.TOURISME COMMISSARIAT REGIONAL AU TOURISME,ADMINISTRATION,COMMISSARIAT REGIONAL AU TOURISME,MIN.TOURIS.COMM.ART.
439922,MIN.TOURIS. INSTITUT SUPERIEUR PROF.DE TOURISME,ADMINISTRATION,INSTITUT SUPERIEUR PROF.DE TOURISME,MIN.TOURIS.COMM.ART.
439932,MIN.INTER.DEV.LOC.ECOLE NLE.DE FORM.CONT.DE LA GARDE NLE.,ADMINISTRATION,ECOLE NLE.DE FORM.CONT.DE LA GARDE NLE.,MIN.INTER.DEV.LOC.
439942,MIN.TOURIS.ECOLE DE TOURISME SOUSSE NORD . KANTAOUI,ADMINISTRATION,ECOLE DE TOURISME SOUSSE NORD . KANTAOUI,MIN.TOURIS.COMM.ART.
439952,MIN.INTER.DEV.LOC. COMMUNE GOLAA,ADMINISTRATION,COMMUNE GOLAA                                   ,MIN.INTER.DEV.LOC.
439962,MIN.EDUC. COMMISSARIAT REG.DE L'EDUCATION SFAX II,ADMINISTRATION,MIN.EDUC. COMMISSARIAT REG.DE L'EDUCATION SFAX II,MIN.EDUC.
439972,MIN.INTER.DEV.LOC.COMMUNE DE BRADAA,ADMINISTRATION,COMMUNE DE BRADAA,MIN.INTER.DEV.LOC.
439982,MIN.INTER.COMMUNE KSIBET ET THRAYET,ADMINISTRATION,COMMUNE KSIBET ET THRAYET                                   ,MIN.INTER.DEV.LOC.
439992,MIN.INTER.  COMMUNE DE SNED,ADMINISTRATION,COMMUNE DE SNED                                   ,MIN.INTER.DEV.LOC.
