Compte ,Client ,Secteurs clients,Consolidation Client,AME
568042,MIN.AGRIC.ENV.RESS.HYD.ETUDES GRANDS TRAVAUX HYDRAULIQUES,ADMINISTRATION,ETUDES GRANDS TRAVAUX HYDRAULIQUES,MIN.AGRIC.ENV.RESS.HYD.
568072,MIN.AGRIC.ENV.RESS.HYD.DIRECTION GLE DES FORETS,ADMINISTRATION,DIRECTION GLE DES FORETS,MIN.AGRIC.ENV.RESS.HYD.
568082,MIN.AGRIC.ENV.RESS.HYD.INSTITUT RECHERCHE VETERINAIRE DE TUNISIE,ADMINISTRATION,INSTITUT RECHERCHE VETERINAIRE DE TUNISIE  ,MIN.AGRIC.ENV.RESS.HYD.
568112,MIN.AGRIC.ENV.RESS.HYD.OFFICE NATIONAL DE LA VIGNE,ADMINISTRATION,OFFICE NATIONAL DE LA VIGNE,MIN.AGRIC.ENV.RESS.HYD.
568122,MIN.AGRIC.ENV.RESS.HYD.REGIE EXPLOITATION FORESTIERS,ADMINISTRATION,REGIE EXPLOITATION FORESTIERS,MIN.AGRIC.ENV.RESS.HYD.
568132,MIN.AGRIC.ENV.RESS.HYD.CENTRE NATIONAL DES ETUDES AGRICOLES,ADMINISTRATION,CENTRE NATIONAL DES ETUDES AGRICOLES,MIN.AGRIC.ENV.RESS.HYD.
568142,MIN.AGRIC.ENV.RESS.HYD.ECOLE NATIONALE MEDECINE VETERINAIRE,ADMINISTRATION,ECOLE NATIONALE MEDECINE VETERINAIRE,MIN.AGRIC.ENV.RESS.HYD.
568152,MIN.AGRIC.ENV.RESS.HYD.SCE BATIMENTS,ADMINISTRATION,SCE BATIMENTS,MIN.AGRIC.ENV.RESS.HYD.
568162,MIN.AGRIC.ENV.RESS.HYD.LYCEE SECTORIEL DE LA FORM.PROF.AGRICOLE,ADMINISTRATION,LYCEE SECTORIEL DE LA FORM.PROF.AGRICOLE,MIN.AGRIC.ENV.RESS.HYD.
568181,MIN.AGRIC.ENV.RESS.HYD.CENTRE DE FORMATION PROF. AGRICOLE DE THIBA,ADMINISTRATION,CENTRE DE FORMATION PROF. AGRICOLE DE THIBA,MIN.AGRIC.ENV.RESS.HYD.
568192,MIN.AGRIC.ENV.RESS.HYD.ECOLE SUP ECONOMIE PROMOTION RURALE,ADMINISTRATION,ECOLE SUP ECONOMIE PROMOTION RURALE,MIN.AGRIC.ENV.RESS.HYD.
568212,MIN.AGRIC.ENV.RESS.HYD.ARROND.FORET,ADMINISTRATION,ARROND.FORET,MIN.AGRIC.ENV.RESS.HYD.
568222,MIN.AGRIC.ENV.RESS.HYD.CFPR VULGARISATION ELEVAGE,ADMINISTRATION,CFPR VULGARISATION ELEVAGE,MIN.AGRIC.ENV.RESS.HYD.
568232,MIN.AGRIC.ENV.RESS.HYD.INST.NL.PEDAG.PROM.SUP.AGRICOLE,ADMINISTRATION,INST.NL.PEDAG.PROM.SUP.AGRICOLE,MIN.AGRIC.ENV.RESS.HYD.
568242,MIN.AGRIC.ENV.RESS.HYD.ECOLE SUP INDUSTRIEL ALIMENTAIRE,ADMINISTRATION,ECOLE SUP INDUSTRIEL ALIMENTAIRE,MIN.AGRIC.ENV.RESS.HYD.
568252,MIN.AGRIC.ENV.RESS.HYD.INSTOP PROJET AQUACULTURE,ADMINISTRATION,INSTOP PROJET AQUACULTURE,MIN.AGRIC.ENV.RESS.HYD.
568262,MIN.AGRIC.ENV.RESS.HYD.F.N.A.R.C,ADMINISTRATION,F.N.A.R.C                                   ,MIN.AGRIC.ENV.RESS.HYD.
568272,MIN.AGRIC.ENV.RESS.HYD.SOUS DIREC.DEVELOPP.RURAL,ADMINISTRATION,SOUS DIREC.DEVELOPP.RURAL,MIN.AGRIC.ENV.RESS.HYD.
568292,MIN.AGRIC.ENV.RESS.HYD.OBSERVATOIRE NATIONALE DE L'AGRICULTURE,ADMINISTRATION,OBSERVATOIRE NATIONALE DE L'AGRICULTURE,MIN.AGRIC.ENV.RESS.HYD.
568301,MIN.AGRIC.ENV.RESS.HYD.D.E.G.T.H  SCE.EXPLOIT DES BARRAGES,ADMINISTRATION,D.E.G.T.H  SCE.EXPLOIT DES BARRAGES,MIN.AGRIC.ENV.RESS.HYD.
568312,MIN.AGRIC.ENV.RESS.HYD.BUREAU DE CONTROLE DES UNITES DE PRODUCTION,ADMINISTRATION,BUREAU DE CONTROLE DES UNITES DE PRODUCTION,MIN.AGRIC.ENV.RESS.HYD.
568322,MIN.AGRIC.ENV.RESS.HYD.C.R.D.A. DE TUNIS,ADMINISTRATION,C.R.D.A. DE TUNIS,MIN.AGRIC.ENV.RESS.HYD.
568332,MIN.AGRIC.ENV.RESS.HYD.C.R.D.A. DE ZAGHOUAN,ADMINISTRATION,C.R.D.A. DE ZAGHOUAN,MIN.AGRIC.ENV.RESS.HYD.
568342,MIN.AGRIC.ENV.RESS.HYD.PROJET PROPEME DAPME,ADMINISTRATION,PROJET PROPEME DAPME,MIN.AGRIC.ENV.RESS.HYD.
568352,MIN.AGRIC.ENV.RESS.HYD.DEGTH REALISATION PROJETS,ADMINISTRATION,DEGTH REALISATION PROJETS,MIN.AGRIC.ENV.RESS.HYD.
568372,MIN.AGRIC.ENV.RESS.HYD.CONSOLIDATION DE LA DEFENSE DES CULTURES,ADMINISTRATION,CONSOLIDATION DE LA DEFENSE DES CULTURES,MIN.AGRIC.ENV.RESS.HYD.
568382,MIN.AGRIC.ENV.RESS.HYD.INSTOP,ADMINISTRATION,INSTOP,MIN.AGRIC.ENV.RESS.HYD.
568412,MIN.AGRIC.ENV.RESS.HYD.PROJET TUNISO-BELGE CONSOL.DEF.CULT.,ADMINISTRATION,PROJET TUNISO-BELGE CONSOL.DEF.CULT.,MIN.AGRIC.ENV.RESS.HYD.
568422,MIN.AGRIC.ENV.RESS.HYD.BUREAU D'INVESTISEMENT ET DE RECHERCHE HYDR,ADMINISTRATION,BUREAU D'INVESTISEMENT ET DE RECHERCHE HYDR,MIN.AGRIC.ENV.RESS.HYD.
568432,MIN.AGRIC.ENV.RESS.HYD.C.R.D.A. DE BEN AROUS,ADMINISTRATION,C.R.D.A. DE BEN AROUS,MIN.AGRIC.ENV.RESS.HYD.
568442,MIN.AGRIC.ENV.RESS.HYD.CRDA ARIANA,ADMINISTRATION,CRDA ARIANA,MIN.AGRIC.ENV.RESS.HYD.
568452,MIN.AGRIC.ENV.RESS.HYD.PROJET RECH.AGRICOLE,ADMINISTRATION,PROJET RECH.AGRICOLE,MIN.AGRIC.ENV.RESS.HYD.
568462,MIN.AGRIC.ENV.RESS.HYD.CONSERVATIONS EAUX SOLS,ADMINISTRATION,CONSERVATIONS EAUX SOLS,MIN.AGRIC.ENV.RESS.HYD.
568482,C.F.P AGRICOLE DANS LE SECTEUR DE L'AVICULTURE,ADMINISTRATION,C.F.P AGRICOLE DANS LE SECTEUR DE L'AVICULTURE,MIN.AGRIC.ENV.RESS.HYD.
568522,MIN.AGRIC.ENV.RESS.HYD.PROD.AGRIC.ET DE L'AGRO-ALIMENTAIRE,ADMINISTRATION,PROD.AGRIC.ET DE L'AGRO-ALIMENTAIRE,MIN.AGRIC.ENV.RESS.HYD.
568542,MIN.AGRIC.ENV.RESS.HYD.COMM.CENTRE DEVELOPP.AGRICOLE,ADMINISTRATION,COMM.CENTRE DEVELOPP.AGRICOLE,MIN.AGRIC.ENV.RESS.HYD.
568552,MIN.AGRIC.ENV.RESS.HYD.CENTRE ACTIVITES REG.POUR AIRES SPEC.PROTEG,ADMINISTRATION,CENTRE ACTIVITES REG.POUR AIRES SPEC.PROTEG,MIN.AGRIC.ENV.RESS.HYD.
568562,MIN.AGRIC.ENV.RESS.HYD.REGIE DES PARCS COMMUNS,ADMINISTRATION,REGIE DES PARCS COMMUNS,MIN.AGRIC.ENV.RESS.HYD.
568572,MIN.AGRIC.ENV.RESS.HYD.PROJET DEVEL.PISCICULTURE CONTINENTALE,ADMINISTRATION,PROJET DEVEL.PISCICULTURE CONTINENTALE,MIN.AGRIC.ENV.RESS.HYD.
568592,MIN.AGRIC.ENV.RESS.HYD.PROJET TUN 88003 PNUD/BIT DIPCAS DGFE,ADMINISTRATION,PROJET TUN 88003 PNUD/BIT DIPCAS DGFE,MIN.AGRIC.ENV.RESS.HYD.
568602,MIN.AGRIC.ENV.RESS.HYD.D.G.T.H  BARAGE R'MAL,ADMINISTRATION,D.G.T.H  BARAGE R'MAL,MIN.AGRIC.ENV.RESS.HYD.
568612,MIN.AGRIC.ENV.RESS.HYD.DGTH BARRAGE SIDI AICH,ADMINISTRATION,DGTH BARRAGE SIDI AICH,MIN.AGRIC.ENV.RESS.HYD.
568622,MIN.AGRIC.ENV.RESS.HYD.AGENCE VULGARISATION AGRICOLE,ADMINISTRATION,AGENCE VULGARISATION AGRICOLE              ,MIN.AGRIC.ENV.RESS.HYD.
568632,MIN.AGRIC.ENV.RESS.HYD.INSTITUT RECH.ENS.AGRICOLES,ADMINISTRATION,INSTITUT RECH.ENS.AGRICOLES,MIN.AGRIC.ENV.RESS.HYD.
568642,MIN.AGRIC.ENV.RESS.HYD.DIR.ARBO.ET DES CULTURES HORTICOLES,ADMINISTRATION,DIR.ARBO.ET DES CULTURES HORTICOLES,MIN.AGRIC.ENV.RESS.HYD.
568652,MIN.AGRIC.ENV.RESS.HYD.DIRECTION DES GRANDES CULTURES,ADMINISTRATION,DIRECTION DES GRANDES CULTURES,MIN.AGRIC.ENV.RESS.HYD.
